"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ontology"
"GO:0005886","plasma membrane","50/130","161/777",0.31055900621118,1.8561872909699,5.46564921637134,2.11717495553292e-07,0.00023670016002858,0.000219071892767248,"g1074/g1173/g1343/g1399/g1407/g1427/g145/g1560/g1561/g1660/g1671/g1689/g1718/g173/g1734/g1880/g1882/g190/g1900/g192/g209/g2176/g2399/g2425/g2452/g2469/g2496/g2524/g2529/g264/g291/g295/g346/g368/g404/g507/g523/g535/g57/g589/g595/g632/g642/g686/g73/g770/g771/g84/g892/g899",50,"BP"
"GO:0071944","cell periphery","53/130","185/777",0.286486486486487,1.71230769230769,4.97213648682431,1.64464943996763e-06,0.000919359036941906,0.000850889683941149,"g1074/g1173/g1256/g1343/g1399/g1407/g1427/g145/g1560/g1561/g1660/g1671/g1689/g1718/g173/g1734/g1880/g1882/g190/g1900/g192/g1955/g209/g2176/g2296/g2399/g2425/g2452/g2469/g2496/g2524/g2529/g264/g291/g295/g346/g368/g404/g507/g523/g535/g57/g589/g595/g632/g642/g686/g73/g770/g771/g84/g892/g899",53,"CC"
"GO:0051273","beta-glucan metabolic process","7/130","9/777",0.777777777777778,4.64871794871795,4.93209387572958,8.52518175472428e-05,0.025054231899854,0.0231883155612056,"g1439/g1440/g1718/g1852/g190/g192/g899",7,"CC"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor","19/130","49/777",0.387755102040816,2.31758241758242,4.26835504878692,0.000110363402582034,0.025054231899854,0.0231883155612056,"g1230/g130/g1427/g1675/g1734/g1750/g190/g192/g1980/g2066/g2260/g2452/g2496/g2524/g295/g507/g632/g84/g899",19,"MF"
"GO:0016301","kinase activity","20/130","53/777",0.377358490566038,2.25544267053701,4.24146545017419,0.000112049337655877,0.025054231899854,0.0231883155612056,"g1230/g130/g1427/g1675/g1734/g1750/g190/g192/g1980/g2066/g2260/g2452/g2496/g2524/g295/g354/g507/g632/g84/g899",20,"MF"
"GO:0016772","transferase activity, transferring phosphorus-containing groups","22/130","62/777",0.354838709677419,2.12084367245658,4.12133829689135,0.000144621147307333,0.0269477404482663,0.0249408048777383,"g1230/g130/g1427/g1675/g1734/g1750/g1880/g1882/g190/g192/g1980/g2066/g2260/g2452/g2496/g2524/g295/g354/g507/g632/g84/g899",22,"MF"
"GO:0004672","protein kinase activity","16/130","40/777",0.4,2.39076923076923,4.04577495878972,0.000268617721453752,0.042902087512185,0.0397069504043667,"g130/g1427/g1675/g1734/g190/g192/g1980/g2066/g2452/g2496/g2524/g295/g507/g632/g84/g899",16,"BP"
